Time: 1548339112640, Lat: 39.497222900390625 deg(latitude), Lon: -76.13601684570312 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339131679, Lat: 39.52878952026367 deg(latitude), Lon: -76.12181854248047 deg(longitude), Alt: 200.0 m(altitude), Conc: 1.0E-5
Time: 1548339133181, Lat: 39.48635482788086 deg(latitude), Lon: -76.11073303222656 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339133683, Lat: 39.50011444091797 deg(latitude), Lon: -76.09405517578125 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339134183, Lat: 39.53388977050781 deg(latitude), Lon: -76.13121795654297 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.05
Time: 1548339134683, Lat: 39.510154724121094 deg(latitude), Lon: -76.11225128173828 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.1
Time: 1548339135183, Lat: 39.52988815307617 deg(latitude), Lon: -76.12071228027344 deg(longitude), Alt: 200.0 m(altitude), Conc: 1.0E-5
Time: 1548339136685, Lat: 39.5482292175293 deg(latitude), Lon: -76.12654113769531 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339137185, Lat: 39.490692138671875 deg(latitude), Lon: -76.09587097167969 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339137686, Lat: 39.48640823364258 deg(latitude), Lon: -76.14260864257812 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.05
Time: 1548339138186, Lat: 39.50855255126953 deg(latitude), Lon: -76.0907211303711 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.1
Time: 1548339138686, Lat: 39.48967742919922 deg(latitude), Lon: -76.1389389038086 deg(longitude), Alt: 200.0 m(altitude), Conc: 1.0E-5
Time: 1548339140188, Lat: 39.543914794921875 deg(latitude), Lon: -76.08500671386719 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339140688, Lat: 39.56099319458008 deg(latitude), Lon: -76.10916137695312 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
Time: 1548339141188, Lat: 39.54771041870117 deg(latitude), Lon: -76.09300231933594 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.05
Time: 1548339141689, Lat: 39.56779098510742 deg(latitude), Lon: -76.13972473144531 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.1
Time: 1548339142189, Lat: 39.47511672973633 deg(latitude), Lon: -76.13864135742188 deg(longitude), Alt: 200.0 m(altitude), Conc: 1.0E-5
Time: 1548339143690, Lat: 39.505855560302734 deg(latitude), Lon: -76.13954162597656 deg(longitude), Alt: 200.0 m(altitude), Conc: 0.04
